"","recency2","monetary2","frequency2","id","gender","monetary","recency","frequency","duration","purchase.x","purchase.y"
"1","1","1","1",13326,"F",161,14,1,14,0,0.0326241134751773
"2","1","1","1",13489,"F",53,26,2,32,0,0.0326241134751773
"3","1","1","1",13001,"F",142,26,2,34,0,0.0326241134751773
"4","1","1","1",12267,"F",203,26,2,28,0,0.0326241134751773
"5","1","1","1",12032,"M",195,18,2,20,0,0.0326241134751773
"6","1","1","1",12468,"M",186,16,2,22,0,0.0326241134751773
"7","1","1","1",12040,"F",125,24,1,24,0,0.0326241134751773
"8","1","1","1",13366,"M",184,16,1,16,0,0.0326241134751773
"9","1","1","1",12548,"F",192,16,2,24,0,0.0326241134751773
"10","1","1","1",12110,"F",162,26,2,34,0,0.0326241134751773
"11","1","1","1",12233,"F",75,14,2,22,0,0.0326241134751773
"12","1","1","1",13535,"F",174,14,3,24,0,0.0326241134751773
"13","1","1","1",12524,"F",113,14,1,14,0,0.0326241134751773
"14","1","1","1",12639,"F",35,36,2,40,0,0.0326241134751773
"15","1","1","1",13841,"F",80,14,1,14,1,0.0326241134751773
"16","1","1","1",13581,"F",108,14,2,16,0,0.0326241134751773
"17","1","1","1",13445,"F",23,14,1,14,0,0.0326241134751773
"18","1","1","1",12266,"F",115,34,1,34,0,0.0326241134751773
"19","1","1","1",12605,"F",29,16,1,16,0,0.0326241134751773
"20","1","1","1",13736,"F",57,18,2,24,0,0.0326241134751773
"21","1","1","1",13401,"F",42,18,2,26,0,0.0326241134751773
"22","1","1","1",12918,"F",29,14,1,14,0,0.0326241134751773
"23","1","1","1",12567,"F",110,20,1,20,0,0.0326241134751773
"24","1","1","1",13002,"M",120,24,1,24,0,0.0326241134751773
"25","1","1","1",13391,"F",33,30,2,34,0,0.0326241134751773
"26","1","1","1",12205,"M",206,14,2,16,0,0.0326241134751773
"27","1","1","1",13203,"F",18,16,1,16,0,0.0326241134751773
"28","1","1","1",12922,"M",161,20,1,20,0,0.0326241134751773
"29","1","1","1",12386,"F",140,24,2,30,0,0.0326241134751773
"30","1","1","1",12669,"F",106,16,2,24,0,0.0326241134751773
"31","1","1","1",12346,"F",178,16,2,22,0,0.0326241134751773
"32","1","1","1",13437,"M",136,14,1,14,0,0.0326241134751773
"33","1","1","1",12793,"F",16,14,1,14,0,0.0326241134751773
"34","1","1","1",12443,"M",113,14,2,20,0,0.0326241134751773
"35","1","1","1",12969,"F",178,14,2,20,0,0.0326241134751773
"36","1","1","1",13282,"F",197,16,2,24,0,0.0326241134751773
"37","1","1","1",12796,"F",132,14,2,20,0,0.0326241134751773
"38","1","1","1",13810,"F",39,16,2,22,0,0.0326241134751773
"39","1","1","1",12986,"F",44,32,2,40,0,0.0326241134751773
"40","1","1","1",12288,"F",94,24,1,24,0,0.0326241134751773
"41","1","1","1",12209,"M",192,34,2,40,0,0.0326241134751773
"42","1","1","1",12183,"F",125,32,1,32,0,0.0326241134751773
"43","1","1","1",12952,"F",125,26,2,30,0,0.0326241134751773
"44","1","1","1",12642,"F",136,24,1,24,0,0.0326241134751773
"45","1","1","1",13494,"F",33,26,2,28,0,0.0326241134751773
"46","1","1","1",13251,"M",173,14,2,20,0,0.0326241134751773
"47","1","1","1",12387,"M",73,22,1,22,0,0.0326241134751773
"48","1","1","1",13197,"F",181,16,1,16,0,0.0326241134751773
"49","1","1","1",12203,"F",173,20,2,28,0,0.0326241134751773
"50","1","1","1",12849,"F",30,14,1,14,0,0.0326241134751773
"51","1","1","1",12785,"M",87,34,2,40,0,0.0326241134751773
"52","1","1","1",13201,"F",161,14,3,32,0,0.0326241134751773
"53","1","1","1",12272,"M",141,28,2,30,0,0.0326241134751773
"54","1","1","1",13850,"F",126,26,1,26,0,0.0326241134751773
"55","1","1","1",12278,"F",157,14,2,22,0,0.0326241134751773
"56","1","1","1",13126,"F",68,14,2,16,0,0.0326241134751773
"57","1","1","1",12627,"F",81,20,2,28,0,0.0326241134751773
"58","1","1","1",12870,"F",41,14,1,14,0,0.0326241134751773
"59","1","1","1",12507,"M",26,32,1,32,0,0.0326241134751773
"60","1","1","1",12805,"F",178,16,2,22,0,0.0326241134751773
"61","1","1","1",12725,"F",93,14,2,16,0,0.0326241134751773
"62","1","1","1",12066,"F",107,22,2,30,0,0.0326241134751773
"63","1","1","1",12473,"F",45,26,2,34,0,0.0326241134751773
"64","1","1","1",13807,"M",152,18,1,18,0,0.0326241134751773
"65","1","1","1",13217,"F",133,30,2,38,0,0.0326241134751773
"66","1","1","1",12246,"M",109,14,3,22,1,0.0326241134751773
"67","1","1","1",13338,"F",189,14,1,14,0,0.0326241134751773
"68","1","1","1",12355,"F",177,14,2,18,0,0.0326241134751773
"69","1","1","1",12196,"F",151,14,2,22,0,0.0326241134751773
"70","1","1","1",13853,"F",102,28,1,28,0,0.0326241134751773
"71","1","1","1",12155,"F",95,26,3,32,0,0.0326241134751773
"72","1","1","1",12401,"F",97,34,1,34,0,0.0326241134751773
"73","1","1","1",12979,"F",40,14,2,22,0,0.0326241134751773
"74","1","1","1",12456,"F",202,14,2,20,0,0.0326241134751773
"75","1","1","1",13493,"F",198,26,2,30,0,0.0326241134751773
"76","1","1","1",12888,"F",124,14,1,14,0,0.0326241134751773
"77","1","1","1",13132,"M",200,16,2,18,1,0.0326241134751773
"78","1","1","1",12623,"F",159,28,1,28,0,0.0326241134751773
"79","1","1","1",12421,"F",198,14,2,16,0,0.0326241134751773
"80","1","1","1",13876,"M",51,24,1,24,0,0.0326241134751773
"81","1","1","1",13058,"F",149,16,2,18,0,0.0326241134751773
"82","1","1","1",13422,"M",112,16,1,16,0,0.0326241134751773
"83","1","1","1",12305,"F",26,18,1,18,0,0.0326241134751773
"84","1","1","1",12182,"F",51,16,1,16,0,0.0326241134751773
"85","1","1","1",13638,"F",125,18,1,18,0,0.0326241134751773
"86","1","1","1",12547,"F",201,14,2,20,0,0.0326241134751773
"87","1","1","1",12306,"F",112,14,1,14,0,0.0326241134751773
"88","1","1","1",12631,"F",29,24,1,24,0,0.0326241134751773
"89","1","1","1",12378,"M",87,30,1,30,0,0.0326241134751773
"90","1","1","1",12553,"F",188,16,1,16,0,0.0326241134751773
"91","1","1","1",13402,"F",180,22,2,24,0,0.0326241134751773
"92","1","1","1",13120,"F",187,16,1,16,0,0.0326241134751773
"93","1","1","1",13161,"F",124,14,2,18,0,0.0326241134751773
"94","1","1","1",13647,"F",40,14,2,22,0,0.0326241134751773
"95","1","1","1",13123,"F",79,20,1,20,0,0.0326241134751773
"96","1","1","1",13124,"F",135,14,2,20,0,0.0326241134751773
"97","1","1","1",12679,"F",153,32,2,38,0,0.0326241134751773
"98","1","1","1",12924,"M",133,16,3,26,0,0.0326241134751773
"99","1","1","1",12520,"F",134,34,1,34,0,0.0326241134751773
"100","1","1","1",12603,"M",166,16,1,16,0,0.0326241134751773
"101","1","1","1",12765,"F",169,16,1,16,0,0.0326241134751773
"102","1","1","1",12351,"F",208,16,2,20,0,0.0326241134751773
"103","1","1","1",13656,"F",168,16,2,24,0,0.0326241134751773
"104","1","1","1",13657,"F",85,34,2,40,0,0.0326241134751773
"105","1","1","1",12930,"F",54,16,1,16,0,0.0326241134751773
"106","1","1","1",12811,"F",126,14,1,14,0,0.0326241134751773
"107","1","1","1",13539,"F",159,22,1,22,0,0.0326241134751773
"108","1","1","1",12287,"F",116,16,1,16,0,0.0326241134751773
"109","1","1","1",13300,"M",55,14,1,14,0,0.0326241134751773
"110","1","1","1",13906,"F",70,34,2,38,0,0.0326241134751773
"111","1","1","1",12532,"F",146,14,2,18,0,0.0326241134751773
"112","1","1","1",12413,"F",178,32,3,44,0,0.0326241134751773
"113","1","1","1",13626,"M",42,16,2,22,0,0.0326241134751773
"114","1","1","1",12211,"F",180,14,2,18,0,0.0326241134751773
"115","1","1","1",13049,"M",51,34,2,38,0,0.0326241134751773
"116","1","1","1",12217,"F",189,16,1,16,0,0.0326241134751773
"117","1","1","1",12581,"M",31,28,2,36,0,0.0326241134751773
"118","1","1","1",13309,"M",148,16,1,16,0,0.0326241134751773
"119","1","1","1",13187,"F",152,20,1,20,0,0.0326241134751773
"120","1","1","1",13674,"F",53,16,1,16,0,0.0326241134751773
"121","1","1","1",13067,"M",158,32,2,34,0,0.0326241134751773
"122","1","1","1",12869,"F",125,24,2,28,0,0.0326241134751773
"123","1","1","1",13111,"M",118,14,2,22,0,0.0326241134751773
"124","1","1","1",12224,"M",126,14,3,28,0,0.0326241134751773
"125","1","1","1",13800,"F",125,16,2,18,1,0.0326241134751773
"126","1","1","1",12465,"F",140,14,1,14,0,0.0326241134751773
"127","1","1","1",13194,"F",80,16,1,16,0,0.0326241134751773
"128","1","1","1",12185,"F",79,16,1,16,0,0.0326241134751773
"129","1","1","1",12226,"F",124,16,2,22,0,0.0326241134751773
"130","1","1","1",13643,"F",198,24,2,30,0,0.0326241134751773
"131","1","1","1",12715,"F",94,26,3,40,0,0.0326241134751773
"132","1","1","1",12431,"F",174,16,2,22,1,0.0326241134751773
"133","1","1","1",13726,"M",32,14,1,14,0,0.0326241134751773
"134","1","1","1",13202,"F",162,14,2,16,0,0.0326241134751773
"135","1","1","1",13566,"F",128,16,2,20,0,0.0326241134751773
"136","1","1","1",12315,"M",60,16,2,24,0,0.0326241134751773
"137","1","1","1",13690,"F",71,14,1,14,0,0.0326241134751773
"138","1","1","1",12235,"M",181,14,1,14,1,0.0326241134751773
"139","1","1","1",13813,"F",70,18,3,28,0,0.0326241134751773
"140","1","1","1",12400,"F",70,34,2,36,0,0.0326241134751773
"141","1","1","1",12198,"F",96,26,2,28,0,0.0326241134751773
"142","1","1","1",13695,"F",65,16,1,16,0,0.0326241134751773
"143","1","1","1",12604,"F",44,16,2,18,0,0.0326241134751773
"144","1","1","1",13333,"M",156,14,2,20,1,0.0326241134751773
"145","1","1","1",12363,"F",134,16,3,32,0,0.0326241134751773
"146","1","1","1",13335,"M",42,20,2,22,0,0.0326241134751773
"147","1","1","1",12852,"F",199,32,2,40,0,0.0326241134751773
"148","1","1","1",13661,"F",96,36,2,42,0,0.0326241134751773
"149","1","1","1",12572,"F",98,16,2,24,0,0.0326241134751773
"150","1","1","1",13785,"F",83,18,2,24,0,0.0326241134751773
"151","1","1","1",13583,"M",103,18,2,24,0,0.0326241134751773
"152","1","1","1",13301,"F",16,16,1,16,0,0.0326241134751773
"153","1","1","1",13100,"F",124,14,2,20,0,0.0326241134751773
"154","1","1","1",12129,"F",122,14,1,14,0,0.0326241134751773
"155","1","1","1",12698,"M",135,16,2,18,0,0.0326241134751773
"156","1","1","1",12738,"F",176,22,2,28,0,0.0326241134751773
"157","1","1","1",12498,"M",70,20,1,20,0,0.0326241134751773
"158","1","1","1",12701,"M",123,24,2,30,0,0.0326241134751773
"159","1","1","1",13106,"F",100,20,2,26,0,0.0326241134751773
"160","1","1","1",12135,"M",42,14,2,20,0,0.0326241134751773
"161","1","1","1",13351,"F",177,26,1,26,0,0.0326241134751773
"162","1","1","1",12543,"M",174,36,2,38,0,0.0326241134751773
"163","1","1","1",12624,"F",159,34,1,34,0,0.0326241134751773
"164","1","1","1",13717,"M",198,30,1,30,0,0.0326241134751773
